state, city, station,fromDate, AT, BP, PM10, PM2.5, RH, SR,  Toluene, WD, WS, CO, Benzene, NH3, NO, NO2, NOx, Ozone, SO2
Delhi,Delhi,site_301,05-Jul-2020 - 17:00,35.73,973.32,49.0,24.0,62.97,353.02,11.38,171.75,0.35,0.82,0.98,19.1,12.82,34.8,28.93,123.05,13.25
Delhi,Delhi,site_301,05-Jul-2020 - 18:00,34.9,973.4,52.25,19.25,66.62,242.15,18.55,163.5,0.3,1.15,1.18,18.58,11.57,34.7,27.9,100.45,12.52
Delhi,Delhi,site_301,05-Jul-2020 - 19:00,34.12,973.4,44.25,14.5,69.12,39.12,7.65,135.75,0.3,1.17,0.9,18.95,7.4,36.08,25.23,84.32,11.88
Delhi,Delhi,site_301,05-Jul-2020 - 20:00,33.65,973.5,48.0,18.25,72.35,9.28,5.15,128.0,0.3,1.25,1.12,19.32,8.2,38.35,27.07,64.35,13.25
Delhi,Delhi,site_301,05-Jul-2020 - 21:00,33.38,973.55,57.25,29.0,74.43,9.4,6.38,73.25,0.3,1.27,1.77,20.15,5.88,33.07,22.38,121.08,21.38
Delhi,Delhi,site_301,05-Jul-2020 - 22:00,33.15,973.65,62.0,44.5,75.15,9.38,7.92,55.0,0.3,1.42,1.98,20.33,4.53,34.47,22.02,102.38,57.02
Delhi,Delhi,site_301,06-Jul-2020 - 00:00,33.08,973.7,61.0,46.5,75.95,9.4,38.2,56.0,0.3,0.75,3.12,20.7,4.5,27.3,18.2,59.05,53.3
Delhi,Delhi,site_301,06-Jul-2020 - 01:00,32.98,973.73,55.5,45.0,78.12,9.28,80.83,59.25,0.3,2.55,3.7,22.62,4.42,25.3,17.05,39.4,18.5
Delhi,Delhi,site_301,06-Jul-2020 - 02:00,32.75,973.8,50.5,40.75,80.15,9.35,141.93,56.25,0.32,2.9,None,21.65,5.25,21.25,15.55,43.15,16.75
Delhi,Delhi,site_301,06-Jul-2020 - 03:00,32.4,973.85,61.5,59.0,83.28,9.35,101.28,153.75,0.3,3.1,None,22.5,4.38,20.7,14.6,80.98,19.83
Delhi,Delhi,site_301,06-Jul-2020 - 04:00,32.15,973.9,70.0,66.75,85.38,9.45,34.98,154.0,0.3,3.1,5.9,22.8,4.88,18.32,13.75,65.83,17.95
Delhi,Delhi,site_301,06-Jul-2020 - 05:00,32.12,973.9,65.25,55.25,85.97,63.65,22.75,76.75,0.3,3.35,4.38,22.4,15.93,26.23,26.9,69.03,17.17
Delhi,Delhi,site_301,06-Jul-2020 - 06:00,32.47,973.9,69.75,60.0,84.47,314.32,43.05,97.75,0.4,3.22,10.12,22.85,17.55,26.77,28.52,30.6,15.35
Delhi,Delhi,site_301,06-Jul-2020 - 07:00,33.35,973.77,75.0,64.25,80.38,376.0,54.55,71.0,0.75,3.62,9.8,22.85,10.47,23.77,21.18,28.5,16.05
Delhi,Delhi,site_301,06-Jul-2020 - 08:00,33.62,973.73,85.0,69.5,78.88,379.02,57.15,66.5,0.57,4.45,8.15,23.0,10.32,23.43,20.88,30.15,14.78
Delhi,Delhi,site_301,06-Jul-2020 - 09:00,35.45,973.5,88.75,72.0,70.73,430.02,37.05,71.5,0.72,4.28,3.68,23.17,9.15,22.0,19.18,38.58,14.38
Delhi,Delhi,site_301,06-Jul-2020 - 10:00,36.95,973.38,89.5,66.0,64.22,433.47,16.68,96.25,1.0,4.2,1.75,22.48,7.85,26.17,20.35,56.92,12.82
Delhi,Delhi,site_301,06-Jul-2020 - 11:00,38.62,973.3,84.75,63.25,57.15,430.38,15.45,109.75,0.93,4.12,1.7,22.1,6.65,25.73,19.12,77.9,11.5
